tradeId,tickerA,tickerB,sector,entryDate,exitDate,direction,entryPriceA,entryPriceB,beta,olsR2,halfLife,kappa,sigma,theta,ouR2,entryRollingZ,entryOuZ,exitRollingZ,exitOuZ,mlScore,mlGrade,mlProb,holdDays,exitReason,pnlUsd,pnlPct,pnlAfterCost,cost,zReverted,betaDriftAtExit,maxBetaDrift,maxPnlPct,minPnlPct
1,LMT,GD,DEFENSE,2025-05-14,2025-05-23,LONG_A_SHORT_B,437.2347,267.0392,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.1292,-1.2078,-0.2699,-0.7955,-3,D,0.25,7,REVERT,28.27,2.827,20.27,8,1,4.91,4.91,2.827,0.414
2,LMT,GD,DEFENSE,2025-06-24,2025-08-07,LONG_A_SHORT_B,451.0473,277.2594,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.1999,-1.327,-0.4631,-4.0678,-3,D,0.25,31,REVERT,-187.09,-18.709,-195.09,8,1,-1.54,4.02,-2.191,-22.742
3,LMT,GD,DEFENSE,2025-09-05,2025-09-30,SHORT_A_LONG_B,457.9908,320.1393,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.3356,-3.3426,0.2506,-3.0942,-3,D,0.25,17,REVERT,-17.72,-1.772,-25.72,8,1,1.94,2.71,0.987,-4.799
4,LMT,GD,DEFENSE,2025-10-21,2025-11-17,LONG_A_SHORT_B,483.2647,339.3039,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.9406,-3.4435,-0.0276,-4.0791,-2,D,0.2917,19,REVERT,-41.57,-4.157,-49.57,8,1,-0.44,2.04,0.265,-10.325
5,LMT,GD,DEFENSE,2025-12-09,2026-01-26,SHORT_A_LONG_B,464.4423,332.91,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.0091,-3.7432,1.0856,-1.8159,-3,D,0.25,31,OVERTIME,-150.19,-15.019,-158.19,8,1,3.87,4.07,2.25,-17.065
6,LMT,GD,DEFENSE,2026-01-29,2026-02-26,SHORT_A_LONG_B,619.2465,349.95,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.4372,-0.2016,0.1205,0.2185,-3,D,0.25,19,REVERT,-28.43,-2.843,-36.43,8,1,3.95,5.78,4.188,-6.555
7,LMT,GD,DEFENSE,2026-03-17,2026-04-02,LONG_A_SHORT_B,636.33,356.29,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.2413,-0.0731,-0.4914,-0.0774,-3,D,0.25,12,REVERT,-0.27,-0.027,-8.27,8,1,5.49,5.87,2.128,-1.412
8,LMT,LHX,DEFENSE,2025-05-13,2025-06-27,LONG_A_SHORT_B,447.6015,214.6922,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,-2.299,-0.8199,-1.0481,-3.362,-1,D,0.3333,31,OVERTIME,-161.16,-16.116,-169.16,8,1,-9.44,9.54,-3.025,-16.655
9,LMT,LHX,DEFENSE,2025-07-09,2025-08-07,LONG_A_SHORT_B,453.8504,255.9502,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,-2.0402,-4.1718,-0.4856,-6.5214,-1,D,0.3333,21,REVERT,-138.72,-13.872,-146.72,8,1,-11.56,11.99,0.747,-18.055
10,LMT,LHX,DEFENSE,2025-09-04,2025-09-16,SHORT_A_LONG_B,451.0306,269.7234,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,2.3268,-5.346,0.1507,-5.6292,-1,D,0.3333,8,REVERT,17.33,1.733,9.33,8,1,-9.84,9.84,1.733,-1.276
11,LMT,LHX,DEFENSE,2025-09-29,2025-10-02,LONG_A_SHORT_B,485.7131,294.6921,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,-2.1105,-5.9032,-0.1869,-5.5937,-1,D,0.3333,3,REVERT,18.46,1.846,10.46,8,1,-9.9,10.02,1.846,-1.978
12,LMT,LHX,DEFENSE,2025-11-07,2025-11-14,LONG_A_SHORT_B,452.5115,288.45,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,-2.7415,-6.66,-0.4094,-6.3,0,D,0.375,5,REVERT,21.48,2.148,13.48,8,1,-11.16,11.4,2.148,-4.867
13,LMT,LHX,DEFENSE,2025-12-17,2025-12-19,SHORT_A_LONG_B,472.3009,277.7525,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,2.3714,-5.1676,-0.1106,-5.8202,-1,D,0.3333,2,REVERT,39.29,3.929,31.29,8,1,-9.82,9.82,3.929,2.716
14,LMT,LHX,DEFENSE,2026-01-08,2026-01-14,LONG_A_SHORT_B,515.722,324.6093,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,-2.3983,-6.865,-0.2655,-6.2314,-1,D,0.3333,4,REVERT,41.1,4.11,33.1,8,1,-9.82,10.26,4.11,0.777
15,LMT,LHX,DEFENSE,2026-01-29,2026-03-05,SHORT_A_LONG_B,619.2465,354.7841,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,2.2691,-5.5945,-0.4028,-4.8807,-1,D,0.3333,24,REVERT,-43.87,-4.387,-51.87,8,1,-11.01,11.02,-1.644,-9.103
16,LMT,LHX,DEFENSE,2026-03-17,2026-03-20,LONG_A_SHORT_B,636.33,368.86,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,-2.2749,-5.9294,-0.334,-5.2617,-1,D,0.3333,3,REVERT,38.54,3.854,30.54,8,1,-9.34,9.34,3.854,1.093
17,LMT,HII,DEFENSE,2025-05-13,2025-05-16,LONG_A_SHORT_B,447.6015,221.5945,0.232788,0.133,40.3,0.017199,0.224139,4.944198,0.9765,-2.0498,-1.2813,-0.3429,-1.099,-3,D,0.25,3,REVERT,14.01,1.401,6.01,8,1,373.15,373.17,1.401,-2.046
18,LMT,HII,DEFENSE,2025-05-30,2025-06-17,SHORT_A_LONG_B,469.5518,220.3031,0.232788,0.133,40.3,0.017199,0.224139,4.944198,0.9765,2.0969,-0.6346,0.2158,-0.7749,-3,D,0.25,12,REVERT,10.96,1.096,2.96,8,1,370.34,376.93,5.015,-0.529
19,LMT,HII,DEFENSE,2025-07-22,2025-08-06,LONG_A_SHORT_B,402.571,250.8212,0.232788,0.133,40.3,0.017199,0.224139,4.944198,0.9765,-4.2455,-3.053,-0.2884,-2.4624,-4,D,0.2083,11,REVERT,46.3,4.63,38.3,8,1,336.95,353.94,4.63,0.211
20,LMT,HII,DEFENSE,2025-09-23,2025-10-15,SHORT_A_LONG_B,480.4708,273.9421,0.232788,0.133,40.3,0.017199,0.224139,4.944198,0.9765,2.0144,-0.999,0.2098,-0.7571,-3,D,0.25,16,REVERT,-18.63,-1.863,-26.63,8,1,353.54,360.67,0.213,-4.612
21,LMT,HII,DEFENSE,2025-10-24,2025-11-17,LONG_A_SHORT_B,479.2268,297.6631,0.232788,0.133,40.3,0.017199,0.224139,4.944198,0.9765,-2.2749,-1.287,-0.37,-1.7876,-3,D,0.25,16,REVERT,-37.77,-3.777,-45.77,8,1,330.66,354.74,0.171,-8.318
22,LMT,HII,DEFENSE,2026-01-05,2026-02-19,SHORT_A_LONG_B,508.8881,362.3477,0.232788,0.133,40.3,0.017199,0.224139,4.944198,0.9765,2.7038,-1.0994,1.4093,1.7699,-2,D,0.2917,31,OVERTIME,-251.85,-25.185,-259.85,8,1,309.37,345.18,2.423,-25.185
23,LMT,HII,DEFENSE,2026-03-24,2026-03-26,LONG_A_SHORT_B,610.17,402.08,0.232788,0.133,40.3,0.017199,0.224139,4.944198,0.9765,-2.2159,0.9667,-0.4203,1.4654,-3,D,0.25,2,REVERT,38.13,3.813,30.13,8,1,349.37,351.22,3.813,2.272
24,LMT,LDOS,DEFENSE,2025-05-13,2025-05-23,LONG_A_SHORT_B,447.6015,153.9437,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,-2.127,-1.5511,0.0645,-1.0257,1,D,0.4167,8,REVERT,34.49,3.449,26.49,8,1,51.72,52.85,3.449,-1.122
25,LMT,LDOS,DEFENSE,2025-05-30,2025-06-11,SHORT_A_LONG_B,469.5518,147.0998,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.0643,-0.2777,-0.1204,-0.7998,1,D,0.4167,8,REVERT,33.22,3.322,25.22,8,1,53.62,56.59,3.322,-3.568
26,LMT,LDOS,DEFENSE,2025-06-24,2025-07-15,LONG_A_SHORT_B,451.0473,151.1797,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,-2.1978,-1.2177,-0.1696,-1.5026,1,D,0.4167,14,REVERT,-19.49,-1.949,-27.49,8,1,50.4,52.99,-1.283,-5.838
27,LMT,LDOS,DEFENSE,2025-07-22,2025-08-18,LONG_A_SHORT_B,402.571,160.1673,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,-3.9274,-3.6418,-0.3728,-3.7562,2,D,0.4583,19,REVERT,-8.96,-0.896,-16.96,8,1,41.01,49.27,3.51,-3.921
28,LMT,LDOS,DEFENSE,2025-09-04,2025-09-18,SHORT_A_LONG_B,451.0306,177.3479,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.1795,-3.125,0.3349,-3.161,1,D,0.4167,10,REVERT,2.66,0.266,-5.34,8,1,47.62,49.21,0.266,-1.896
29,LMT,LDOS,DEFENSE,2025-09-25,2025-11-07,SHORT_A_LONG_B,478.1704,181.4967,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.2768,-2.5099,-2.47,-4.2723,1,D,0.4167,31,OVERTIME,116.43,11.643,108.43,8,0,40.21,49.54,11.643,-2.487
30,LMT,LDOS,DEFENSE,2025-11-10,2025-11-17,LONG_A_SHORT_B,446.3411,195.938,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,-2.3358,-4.4751,0.1072,-3.3569,1,D,0.4167,5,REVERT,73.45,7.345,65.45,8,1,46.47,46.47,7.345,0.55
31,LMT,LDOS,DEFENSE,2025-12-15,2026-01-30,SHORT_A_LONG_B,481.8804,185.4901,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.0418,-2.652,1.7239,1.3093,1,D,0.4167,31,OVERTIME,-299.42,-29.942,-307.42,8,1,49.63,49.65,1.919,-29.942
32,LMT,LDOS,DEFENSE,2026-02-11,2026-02-26,SHORT_A_LONG_B,625.4041,172.5721,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.4007,2.1869,0.3679,2.3016,1,D,0.4167,10,REVERT,-7.62,-0.762,-15.62,8,1,45.23,58.06,-0.762,-8.512
33,LMT,LDOS,DEFENSE,2026-03-26,2026-03-30,SHORT_A_LONG_B,627.33,157.58,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.6852,3.3193,0.0168,2.8632,2,D,0.4583,2,REVERT,29,2.9,21,8,1,60,60.17,2.9,0.813
35,LMT,SAIC,DEFENSE,2025-05-14,2025-05-19,LONG_A_SHORT_B,437.2347,117.7388,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-2.5374,-1.4845,-0.2987,-0.9814,0,D,0.375,3,REVERT,32.98,3.298,24.98,8,1,93.52,93.57,3.298,1.841
36,LMT,SAIC,DEFENSE,2025-05-30,2025-06-11,SHORT_A_LONG_B,469.5518,114.3635,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,2.365,-0.0647,0.367,0.268,-1,D,0.3333,8,REVERT,-18.67,-1.867,-26.67,8,1,96.07,102.43,-1.867,-8.505
37,LMT,SAIC,DEFENSE,2025-07-02,2025-07-11,LONG_A_SHORT_B,453.3506,116.363,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-2.0844,-0.7944,-0.4096,-0.2751,-1,D,0.3333,6,REVERT,32.63,3.263,24.63,8,1,94.48,95.08,3.263,-0.567
38,LMT,SAIC,DEFENSE,2025-07-22,2025-08-06,LONG_A_SHORT_B,402.571,113.7653,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-3.6544,-2.437,-0.3628,-1.5885,0,D,0.375,11,REVERT,55.49,5.549,47.49,8,1,91.27,92.78,5.549,1.266
39,LMT,SAIC,DEFENSE,2025-08-20,2025-10-03,SHORT_A_LONG_B,437.1297,116.9626,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,2.0843,-1.421,1.2283,2.1331,-1,D,0.3333,31,OVERTIME,-227.74,-22.774,-235.74,8,1,73.78,93.82,0.722,-22.842
40,LMT,SAIC,DEFENSE,2025-10-23,2025-10-24,LONG_A_SHORT_B,481.8332,100.3097,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-2.0597,1.6762,0.1259,2.2754,-1,D,0.3333,1,REVERT,36.6,3.66,28.6,8,1,105.44,105.44,3.66,3.66
41,LMT,SAIC,DEFENSE,2025-11-07,2025-11-14,LONG_A_SHORT_B,452.5115,91.5087,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-2.0302,1.621,0.2683,2.2338,-1,D,0.3333,5,REVERT,38.62,3.862,30.62,8,1,104.37,104.48,3.862,-1.3
42,LMT,SAIC,DEFENSE,2025-12-04,2025-12-12,LONG_A_SHORT_B,445.9995,101.4559,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-3.0039,0.3426,-0.3937,1.5881,0,D,0.375,6,REVERT,81.36,8.136,73.36,8,1,98.4,100.63,8.136,1.607
43,LMT,SAIC,DEFENSE,2026-01-06,2026-01-07,SHORT_A_LONG_B,519.3032,108.4429,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,2.1871,2.0634,-0.1743,1.4695,-1,D,0.3333,1,REVERT,36.59,3.659,28.59,8,1,101.21,101.21,3.659,3.659
44,LMT,SAIC,DEFENSE,2026-01-09,2026-02-25,SHORT_A_LONG_B,540.0737,113.6458,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,2.2828,2.2047,0.863,7.7239,-1,D,0.3333,31,OVERTIME,-345.17,-34.517,-353.17,8,1,43.86,101.86,-1.363,-37.187
45,LMT,SAIC,DEFENSE,2026-03-17,2026-04-06,LONG_A_SHORT_B,636.33,94.58,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-2.3706,6.6579,-0.4212,6.1737,-1,D,0.3333,13,REVERT,-31.59,-3.159,-39.59,8,1,107.13,113.77,-0.307,-6.084
46,LMT,MTX.DE,DEFENSE,2025-05-14,2025-05-19,LONG_A_SHORT_B,437.2347,330.8,0.126657,0.036,60.52,0.011454,0.228772,5.465379,0.9785,-3.0335,-1.2572,-0.1863,-0.7423,-1,D,0.3333,3,REVERT,50.37,5.037,42.37,8,1,710.09,710.09,5.037,3.339
47,LMT,MTX.DE,DEFENSE,2025-06-13,2025-07-01,SHORT_A_LONG_B,476.7753,341.2,0.126657,0.036,60.52,0.011454,0.228772,5.465379,0.9785,2.0396,-0.3892,-0.4726,-0.9181,-2,D,0.2917,11,REVERT,49.66,4.966,41.66,8,1,680.64,707.27,6.971,1.952
48,LMT,MTX.DE,DEFENSE,2025-07-22,2025-08-06,LONG_A_SHORT_B,402.571,380.2,0.126657,0.036,60.52,0.011454,0.228772,5.465379,0.9785,-4.14,-2.3098,-0.2294,-1.7097,-3,D,0.25,11,REVERT,58.8,5.88,50.8,8,1,665.2,680.6,5.88,2.106
49,LMT,MTX.DE,DEFENSE,2025-08-20,2025-10-03,SHORT_A_LONG_B,437.1297,379.6,0.126657,0.036,60.52,0.011454,0.228772,5.465379,0.9785,2.0333,-1.4428,1.6427,-0.1167,-2,D,0.2917,31,OVERTIME,-135.09,-13.509,-143.09,8,1,677.03,695.41,0.019,-13.509
50,LMT,MTX.DE,DEFENSE,2025-10-06,2025-10-15,SHORT_A_LONG_B,507.6896,392.5,0.126657,0.036,60.52,0.011454,0.228772,5.465379,0.9785,2.1059,0.0843,0.302,-0.1778,-2,D,0.2917,7,REVERT,24.61,2.461,16.61,8,1,697.47,704.16,2.461,-0.009
51,LMT,MTX.DE,DEFENSE,2025-11-05,2025-11-17,LONG_A_SHORT_B,467.1131,368.3,0.126657,0.036,60.52,0.011454,0.228772,5.465379,0.9785,-2.0771,-0.7058,-0.1965,-0.7158,-2,D,0.2917,8,REVERT,-1,-0.1,-9,8,1,698.01,701.86,-0.1,-4.471
52,LMT,MTX.DE,DEFENSE,2026-01-05,2026-02-19,SHORT_A_LONG_B,508.8881,373.1,0.126657,0.036,60.52,0.011454,0.228772,5.465379,0.9785,2.0789,0.1765,1.7711,2.8672,-2,D,0.2917,31,OVERTIME,-294.21,-29.421,-302.21,8,1,709.98,716.89,3.614,-29.421
53,LMT,MTX.DE,DEFENSE,2026-03-02,2026-03-10,SHORT_A_LONG_B,676.7,355.8,0.126657,0.036,60.52,0.011454,0.228772,5.465379,0.9785,2.2206,3.2328,0.2146,2.8425,-2,D,0.2917,6,REVERT,36.44,3.644,28.44,8,1,740.03,755.63,3.644,0.558
54,LMT,MTX.DE,DEFENSE,2026-03-23,2026-04-07,LONG_A_SHORT_B,616.25,311.2,0.126657,0.036,60.52,0.011454,0.228772,5.465379,0.9785,-2.067,2.4282,-0.0419,2.6139,-2,D,0.2917,9,REVERT,17.85,1.785,9.85,8,1,735.59,758.72,1.863,-2.348
55,RTX,NOC,DEFENSE,2025-05-14,2025-06-03,SHORT_A_LONG_B,128.6188,449.0834,0.918198,0.4309,36.16,0.019167,0.191039,-0.893652,0.9693,2.0906,2.3245,0.3166,2.1398,-1,D,0.3333,13,REVERT,12.27,1.227,4.27,8,1,-13.06,13.24,1.734,-1.919
56,RTX,NOC,DEFENSE,2025-06-11,2025-06-12,SHORT_A_LONG_B,140.1668,483.0366,0.918198,0.4309,36.16,0.019167,0.191039,-0.893652,0.9693,2.1271,2.6346,-0.129,2.2763,-1,D,0.3333,1,REVERT,22.15,2.215,14.15,8,1,-12.91,12.91,2.215,2.215
57,RTX,NOC,DEFENSE,2025-06-16,2025-06-26,SHORT_A_LONG_B,144.7629,491.9959,0.918198,0.4309,36.16,0.019167,0.191039,-0.893652,0.9693,2.8687,2.885,0.3118,2.5748,0,D,0.375,7,REVERT,18.75,1.875,10.75,8,1,-12.57,12.57,1.875,-0.189
58,RTX,NOC,DEFENSE,2025-07-21,2025-08-18,SHORT_A_LONG_B,149.8038,509.5686,0.918198,0.4309,36.16,0.019167,0.191039,-0.893652,0.9693,2.1382,2.9176,-0.4458,1.5158,-1,D,0.3333,20,REVERT,93.38,9.338,85.38,8,1,-13.46,13.66,10.422,5.736
59,RTX,NOC,DEFENSE,2025-08-27,2025-09-02,SHORT_A_LONG_B,158.6837,580.0967,0.918198,0.4309,36.16,0.019167,0.191039,-0.893652,0.9693,2.5376,1.918,0.4539,1.6032,0,D,0.375,3,REVERT,19.32,1.932,11.32,8,1,-13.28,13.28,1.932,-0.311
60,RTX,NOC,DEFENSE,2025-10-08,2025-10-17,LONG_A_SHORT_B,167.3505,633.3463,0.918198,0.4309,36.16,0.019167,0.191039,-0.893652,0.9693,-3.1372,1.4712,-0.368,1.4663,0,D,0.375,7,REVERT,-0.46,-0.046,-8.46,8,1,-13.68,13.9,-0.046,-4.367
61,RTX,NOC,DEFENSE,2025-10-21,2025-11-18,SHORT_A_LONG_B,171.7882,595.0248,0.918198,0.4309,36.16,0.019167,0.191039,-0.893652,0.9693,2.1553,2.8294,0.1625,3.8218,-1,D,0.3333,20,REVERT,-59.64,-5.964,-67.64,8,1,-11.48,11.6,-2.288,-9.033
62,RTX,NOC,DEFENSE,2025-12-11,2026-01-08,SHORT_A_LONG_B,176.8327,558.252,0.918198,0.4309,36.16,0.019167,0.191039,-0.893652,0.9693,2.0222,4.2532,0.007,4.3251,-1,D,0.3333,18,REVERT,-4.54,-0.454,-12.54,8,1,-11.56,11.56,2.298,-1.901
63,RTX,NOC,DEFENSE,2026-01-09,2026-02-11,LONG_A_SHORT_B,187.876,616.8444,0.918198,0.4309,36.16,0.019167,0.191039,-0.893652,0.9693,-2.6685,3.7479,-0.3243,3.0423,0,D,0.375,22,REVERT,-46.55,-4.655,-54.55,8,1,-12.14,12.33,1.969,-8.007
64,RTX,NOC,DEFENSE,2026-02-24,2026-03-06,LONG_A_SHORT_B,198.46,727.73,0.918198,0.4309,36.16,0.019167,0.191039,-0.893652,0.9693,-2.3179,2.17,-0.4344,2.499,-1,D,0.3333,8,REVERT,21.11,2.111,13.11,8,1,-11.73,12.05,2.519,0.102
66,RTX,LHX,DEFENSE,2025-06-13,2025-06-24,SHORT_A_LONG_B,144.0019,253.9149,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,2.333,1.7092,0.293,1.4641,-3,D,0.25,6,REVERT,20.11,2.011,12.11,8,1,465.21,467.38,2.011,-2.285
67,RTX,LHX,DEFENSE,2025-07-17,2025-08-06,SHORT_A_LONG_B,149.7445,262.3329,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,2.1743,2.1196,0.478,2.3746,-3,D,0.25,14,REVERT,-21.4,-2.14,-29.4,8,1,461.93,467.39,1.474,-4.051
68,RTX,LHX,DEFENSE,2025-08-26,2025-09-05,SHORT_A_LONG_B,158.4156,274.3375,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,2.8805,2.7144,0.4872,2.5861,-2,D,0.2917,7,REVERT,10.57,1.057,2.57,8,1,465.81,467.04,1.057,-0.718
69,RTX,LHX,DEFENSE,2025-09-09,2025-09-11,LONG_A_SHORT_B,150.6522,268.6516,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,-2.1443,2.1479,0.1979,2.5403,-3,D,0.25,2,REVERT,33.19,3.319,25.19,8,1,463.4,463.4,3.319,1.859
70,RTX,LHX,DEFENSE,2025-09-30,2025-10-09,SHORT_A_LONG_B,166.1195,303.0878,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,2.3368,3.1002,-0.2782,2.7681,-3,D,0.25,7,REVERT,27.11,2.711,19.11,8,1,460.85,463.78,2.711,-1.362
71,RTX,LHX,DEFENSE,2025-10-21,2025-11-12,SHORT_A_LONG_B,171.7882,290.0775,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,2.2556,3.5869,0.3533,3.8564,-3,D,0.25,16,REVERT,-22.65,-2.265,-30.65,8,1,462.29,474,-0.831,-3.646
72,RTX,LHX,DEFENSE,2025-11-21,2025-11-24,LONG_A_SHORT_B,169.1183,276.8158,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,-2.379,3.4856,-0.3768,3.75,-3,D,0.25,1,REVERT,22.13,2.213,14.13,8,1,475.66,475.66,2.213,2.213
73,RTX,LHX,DEFENSE,2025-12-01,2025-12-09,LONG_A_SHORT_B,167.4638,271.3747,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,-2.5026,3.4043,-0.0943,3.6472,-2,D,0.2917,6,REVERT,20.39,2.039,12.39,8,1,472.21,473.29,2.039,-0.053
74,RTX,LHX,DEFENSE,2025-12-12,2026-01-07,SHORT_A_LONG_B,178.0686,285.9539,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,2.2234,4.0465,0.4609,4.3711,-3,D,0.25,16,REVERT,-27.23,-2.723,-35.23,8,1,468.4,476.81,0.372,-5.082
75,RTX,LHX,DEFENSE,2026-01-14,2026-01-23,SHORT_A_LONG_B,198.1817,341.6599,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,2.5567,5.0034,0.4885,4.7619,-2,D,0.2917,6,REVERT,20.02,2.002,12.02,8,1,462.56,471.18,2.002,-1.385
76,RTX,LHX,DEFENSE,2026-03-02,2026-03-12,SHORT_A_LONG_B,212.16,377.1662,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,2.5153,5.6399,-0.2792,5.2085,-2,D,0.2917,8,REVERT,35.05,3.505,27.05,8,1,467.52,470.08,3.505,0.697
77,RTX,LHX,DEFENSE,2026-03-27,2026-04-06,LONG_A_SHORT_B,189.71,343,0.155298,0.0124,53.28,0.013009,0.212415,3.968153,0.9781,-2.0871,4.4694,-0.1165,4.926,-3,D,0.25,5,REVERT,38.74,3.874,30.74,8,1,465.56,466.67,3.874,-1.21
78,RTX,LDOS,DEFENSE,2025-06-13,2025-06-24,SHORT_A_LONG_B,144.0019,147.7337,0.178834,0.0339,54.19,0.01279,0.219452,3.909911,0.9762,2.1843,1.927,0.1034,1.5703,-3,D,0.25,6,REVERT,30.53,3.053,22.53,8,1,430.79,440.4,3.053,-1.839
79,RTX,LDOS,DEFENSE,2025-07-17,2025-08-05,SHORT_A_LONG_B,149.7445,161.5874,0.178834,0.0339,54.19,0.01279,0.219452,3.909911,0.9762,2.0689,2.194,0.3907,2.4309,-3,D,0.25,13,REVERT,-20.64,-2.064,-28.64,8,1,407.83,440,1.381,-4.737
80,RTX,LDOS,DEFENSE,2025-09-09,2025-09-11,LONG_A_SHORT_B,150.6522,177.7948,0.178834,0.0339,54.19,0.01279,0.219452,3.909911,0.9762,-2.1537,2.0662,0.1272,2.4381,-3,D,0.25,2,REVERT,32.79,3.279,24.79,8,1,425.52,426.93,3.279,2.008
81,RTX,LDOS,DEFENSE,2025-09-26,2025-10-09,SHORT_A_LONG_B,162.1683,184.0247,0.178834,0.0339,54.19,0.01279,0.219452,3.909911,0.9762,2.144,2.8471,-0.3368,2.664,-3,D,0.25,9,REVERT,16.01,1.601,8.01,8,1,423.99,430.47,1.601,-2.454
82,RTX,LDOS,DEFENSE,2025-10-21,2025-11-05,SHORT_A_LONG_B,171.7882,192.2456,0.178834,0.0339,54.19,0.01279,0.219452,3.909911,0.9762,2.1707,3.4234,0.3939,3.4671,-3,D,0.25,11,REVERT,-3.78,-0.378,-11.78,8,1,421.88,436.83,-0.378,-3.958
83,RTX,LDOS,DEFENSE,2025-11-21,2025-11-28,LONG_A_SHORT_B,169.1183,185.6071,0.178834,0.0339,54.19,0.01279,0.219452,3.909911,0.9762,-2.2606,3.3149,0.238,3.6156,-3,D,0.25,4,REVERT,26.4,2.64,18.4,8,1,431.03,435.28,2.64,0.975
84,RTX,LDOS,DEFENSE,2025-12-01,2025-12-08,LONG_A_SHORT_B,167.4638,187.528,0.178834,0.0339,54.19,0.01279,0.219452,3.909911,0.9762,-2.6324,3.1799,-0.2656,3.4494,-2,D,0.2917,5,REVERT,23.49,2.349,15.49,8,1,430.47,432.49,2.349,0.254
85,RTX,LDOS,DEFENSE,2025-12-11,2026-01-07,SHORT_A_LONG_B,176.8327,189.628,0.178834,0.0339,54.19,0.01279,0.219452,3.909911,0.9762,2.042,3.7866,0.364,4.2465,-3,D,0.25,17,REVERT,-40.71,-4.071,-48.71,8,1,418.31,440.69,-0.698,-6.62
86,RTX,LDOS,DEFENSE,2026-01-12,2026-02-04,SHORT_A_LONG_B,193.2083,195.1162,0.178834,0.0339,54.19,0.01279,0.219452,3.909911,0.9762,2.2167,4.7522,0.1406,5.0006,-3,D,0.25,16,REVERT,-21.45,-2.145,-29.45,8,1,440.44,442.16,-0.086,-5.509
87,RTX,LDOS,DEFENSE,2026-02-12,2026-02-24,SHORT_A_LONG_B,200.4741,171.016,0.178834,0.0339,54.19,0.01279,0.219452,3.909911,0.9762,2.0352,5.4521,0.0548,5.3031,-3,D,0.25,7,REVERT,12.85,1.285,4.85,8,1,409.12,455.69,1.285,-2.207
88,RTX,LDOS,DEFENSE,2026-03-02,2026-03-12,SHORT_A_LONG_B,212.16,178.9563,0.178834,0.0339,54.19,0.01279,0.219452,3.909911,0.9762,2.2243,6.0137,-0.2075,5.5708,-3,D,0.25,8,REVERT,37.41,3.741,29.41,8,1,451.75,457.87,3.741,0.981
