tradeId,tickerA,tickerB,sector,entryDate,exitDate,direction,entryPriceA,entryPriceB,beta,olsR2,halfLife,kappa,sigma,theta,ouR2,entryRollingZ,entryOuZ,exitRollingZ,exitOuZ,mlScore,mlGrade,mlProb,holdDays,exitReason,pnlUsd,pnlPct,pnlAfterCost,cost,zReverted,betaDriftAtExit,maxBetaDrift,maxPnlPct,minPnlPct,peakPnlDay,zAtDay3,zAtDay5,zAtDay10,zVelocityFirst3d,zVelocityLast3d,pnlAtDay3,pnlAtDay5,pnlAtDay10,betaDriftDay3,betaDriftDay5,betaDriftDay10,hadPositiveWindow,peakToExitDrop,spreadAtEntry,spreadAtExit,spreadChange
1,LMT,GD,DEFENSE,2025-05-14,2025-05-23,LONG_A_SHORT_B,437.2347,267.0392,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.1292,-1.2078,-0.2699,-0.7955,-3,D,0.25,7,REVERT,28.27,2.827,20.27,8,1,4.91,4.91,2.827,0.414,7,-1.2381,-0.784,,0.1263,0.1714,1.216,2.006,,4.7,4.82,,0,0.000,0.27300807,0.30045755,0.02744948
2,LMT,GD,DEFENSE,2025-06-24,2025-07-22,LONG_A_SHORT_B,451.0473,277.2594,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.1999,-1.327,-3.7413,-4.008,-3,D,0.25,19,DIVERGE,-174.33,-17.433,-182.33,8,0,1.2,4.02,-2.191,-17.433,1,-2.0823,-1.545,-1.5997,0.1699,-0.9808,-3.933,-3.682,-6.941,3.51,3.55,2.86,0,15.242,0.2650727,0.08658236,-0.17849034
3,LMT,GD,DEFENSE,2025-07-23,2025-07-29,LONG_A_SHORT_B,411.049,314.2692,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-3.3181,-4.678,-1.6031,-4.5408,-2,D,0.2917,4,TRAIL,9.11,0.911,1.11,8,1,0.83,0.95,1.724,0.911,3,-1.7019,,,0.2450,0.1365,1.724,,,0.95,,,0,0.813,0.04198126,0.05111619,0.00913493
4,LMT,GD,DEFENSE,2025-09-05,2025-09-30,SHORT_A_LONG_B,457.9908,320.1393,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.3356,-3.3426,0.2506,-3.0942,-3,D,0.25,17,REVERT,-17.72,-1.772,-25.72,8,1,1.94,2.71,0.987,-4.799,1,2.0727,2.0409,1.4634,-0.1693,0.1958,0.068,-0.538,-1.556,2.1,2.09,2.28,1,2.759,0.13088289,0.14742393,0.01654104
5,LMT,GD,DEFENSE,2025-10-21,2025-11-17,LONG_A_SHORT_B,483.2647,339.3039,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.9406,-3.4435,-0.0276,-4.0791,-2,D,0.2917,19,REVERT,-41.57,-4.157,-49.57,8,1,-0.44,2.04,0.265,-10.325,1,-3.0021,-1.6172,-0.9064,-0.2499,0.3791,-3.911,-2.589,-1.772,0.92,0.73,0.85,1,4.422,0.12416848,0.08185482,-0.04231366
6,LMT,GD,DEFENSE,2025-12-09,2025-12-11,SHORT_A_LONG_B,464.4423,332.91,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.0091,-3.7432,1.5902,-3.8215,-3,D,0.25,2,TRAIL,5.31,0.531,-2.69,8,1,1.52,1.52,2.25,0.531,1,,,,,-0.3336,,,,,,,0,1.719,0.10421454,0.09900236,-0.00521218
7,LMT,GD,DEFENSE,2025-12-12,2025-12-23,SHORT_A_LONG_B,477.7323,336.1169,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.2584,-3.4691,0.8312,-3.6883,-3,D,0.25,7,TRAIL,14.77,1.477,6.77,8,1,1.75,1.95,2.059,0.117,4,1.3541,0.8675,,0.1762,0.0121,0.804,1.85,,1.88,1.69,,0,0.582,0.12246318,0.10786619,-0.01459699
8,LMT,GD,DEFENSE,2026-01-08,2026-02-09,SHORT_A_LONG_B,515.722,350.0102,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.2159,-2.9521,1.1663,-0.2719,-3,D,0.25,21,OVERTIME,-201.21,-20.121,-209.21,8,1,3.46,4.42,-3.517,-23.757,2,2.1762,1.9483,1.5365,0.3561,-0.0729,-4.181,-6.365,-10.024,3.07,3.47,3.89,0,16.604,0.15688226,0.33531184,0.17842958
9,LMT,GD,DEFENSE,2026-03-17,2026-03-20,LONG_A_SHORT_B,636.33,356.29,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.2413,-0.0731,-0.7649,0.1828,-3,D,0.25,3,TRAIL,16.67,1.667,8.67,8,1,5.85,5.87,2.128,1.667,2,-0.7649,,,0.0283,0.0283,1.667,,,5.85,,,0,0.461,0.34854849,0.36558488,0.01703639
10,LMT,GD,DEFENSE,2026-03-23,2026-04-02,LONG_A_SHORT_B,616.25,347.37,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.2094,-0.1589,-0.4914,-0.0774,-3,D,0.25,8,REVERT,5.47,0.547,-2.53,8,1,5.52,5.52,0.547,-0.9,8,-1.8505,-1.7152,,0.1704,0.3023,-0.569,-0.9,,5.39,5.38,,0,0.000,0.34283706,0.34825987,0.00542281
11,LMT,LHX,DEFENSE,2025-05-13,2025-06-11,LONG_A_SHORT_B,447.6015,214.6922,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,-2.299,-0.8199,-2.3541,-3.4097,-1,D,0.3333,20,STALL,-163.79,-16.379,-171.79,8,0,-9.54,9.54,-3.025,-16.379,1,-2.5575,-1.51,-1.8974,0.2806,-0.5154,-4.709,-3.422,-12.201,-6.59,-6.43,-8.85,0,13.354,-0.39343315,-0.5470693,-0.15363615
12,LMT,LHX,DEFENSE,2025-07-09,2025-07-22,LONG_A_SHORT_B,453.8504,255.9502,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,-2.0402,-4.1718,-3.6206,-6.6114,-1,D,0.3333,9,DIVERGE,-138.07,-13.807,-146.07,8,0,-10.56,10.56,0.747,-13.807,3,-1.2557,-1.4143,,0.2515,-0.5884,0.747,-0.337,,-8.43,-8.58,,1,14.554,-0.59227908,-0.7370042,-0.14472512
13,LMT,LHX,DEFENSE,2025-07-23,2025-08-07,LONG_A_SHORT_B,411.049,266.374,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,-2.7562,-6.6558,-0.4856,-6.5214,0,D,0.375,11,REVERT,8.19,0.819,0.19,8,1,-10.91,11.34,0.819,-3.501,11,-1.6031,-1.5705,-0.6121,0.2657,0.1587,0.523,-2.198,0.419,-10.66,-11.1,-10.95,0,0.000,-0.73964015,-0.73166422,0.00797593
14,LMT,LHX,DEFENSE,2025-09-04,2025-09-16,SHORT_A_LONG_B,451.0306,269.7234,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,2.3268,-5.346,0.1507,-5.6292,-1,D,0.3333,8,REVERT,17.33,1.733,9.33,8,1,-9.84,9.84,1.733,-1.276,8,1.8391,0.8462,,0.2429,0.3278,-0.527,0.898,,-9.49,-9.69,,0,0.000,-0.66193836,-0.67873893,-0.01680057
15,LMT,LHX,DEFENSE,2025-09-29,2025-10-02,LONG_A_SHORT_B,485.7131,294.6921,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,-2.1105,-5.9032,-0.1869,-5.5937,-1,D,0.3333,3,REVERT,18.46,1.846,10.46,8,1,-9.9,10.02,1.846,-1.978,3,-0.1869,,,0.8811,0.8811,1.846,,,-9.9,,,0,0.000,-0.69499156,-0.67663354,0.01835802
16,LMT,LHX,DEFENSE,2025-11-07,2025-11-14,LONG_A_SHORT_B,452.5115,288.45,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,-2.7415,-6.66,-0.4094,-6.3,0,D,0.375,5,REVERT,21.48,2.148,13.48,8,1,-11.16,11.4,2.148,-4.867,5,-2.0163,-0.4094,,0.3383,0.5356,-4.274,2.148,,-11.06,-11.16,,0,0.000,-0.7398886,-0.71853088,0.02135772
17,LMT,LHX,DEFENSE,2025-12-17,2025-12-19,SHORT_A_LONG_B,472.3009,277.7525,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,2.3714,-5.1676,-0.1106,-5.8202,-1,D,0.3333,2,REVERT,39.29,3.929,31.29,8,1,-9.82,9.82,3.929,2.716,2,,,,,0.2589,,,,,,,0,0.000,-0.65135393,-0.69006633,-0.03871240
18,LMT,LHX,DEFENSE,2026-01-08,2026-01-14,LONG_A_SHORT_B,515.722,324.6093,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,-2.3983,-6.865,-0.2655,-6.2314,-1,D,0.3333,4,REVERT,41.1,4.11,33.1,8,1,-9.82,10.26,4.11,0.777,4,-1.0825,,,0.2138,0.4464,1.93,,,-10.12,,,0,0.000,-0.75204861,-0.71446075,0.03758786
19,LMT,LHX,DEFENSE,2026-01-29,2026-01-30,SHORT_A_LONG_B,619.2465,354.7841,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,2.2691,-5.5945,3.4561,-4.5114,-1,D,0.3333,1,DIVERGE,-63.58,-6.358,-71.58,8,0,-8.43,8.43,-6.358,-6.358,1,,,,,,,,,,,,0,0.000,-0.67667688,-0.61242692,0.06424996
20,LMT,LHX,DEFENSE,2026-02-02,2026-02-09,SHORT_A_LONG_B,632.6658,339.0589,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,2.8087,-4.3083,1.2934,-4.8596,0,D,0.375,5,TRAIL,33.25,3.325,25.25,8,1,-8.65,8.94,5.303,3.325,4,1.1369,1.2934,,0.0671,-0.0522,4.921,3.325,,-8.93,-8.65,,0,1.978,-0.60037677,-0.63307972,-0.03270295
21,LMT,LHX,DEFENSE,2026-03-17,2026-03-20,LONG_A_SHORT_B,636.33,368.86,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,-2.2749,-5.9294,-0.334,-5.2617,-1,D,0.3333,3,REVERT,38.54,3.854,30.54,8,1,-9.34,9.34,3.854,1.093,3,-0.334,,,0.4255,0.4255,3.854,,,-9.34,,,0,0.000,-0.69654538,-0.65693303,0.03961235
22,LMT,HII,DEFENSE,2025-05-13,2025-05-16,LONG_A_SHORT_B,447.6015,221.5945,0.232788,0.133,40.3,0.017199,0.224139,4.944199,0.9765,-2.0498,-1.2813,-0.3429,-1.099,-3,D,0.25,3,REVERT,14.01,1.401,6.01,8,1,373.15,373.17,1.401,-2.046,3,-0.3429,,,0.8264,0.8264,1.401,,,373.15,,,0,0.000,4.84665049,4.8605324,0.01388191
23,LMT,HII,DEFENSE,2025-05-30,2025-06-12,SHORT_A_LONG_B,469.5518,220.3031,0.232788,0.133,40.3,0.017199,0.224139,4.944199,0.9765,2.0969,-0.6346,-0.6441,-0.9883,-3,D,0.25,9,TRAIL,26.8,2.68,18.8,8,1,368.83,376.93,5.015,-0.473,8,1.6818,1.2674,,0.0420,0.0356,-0.473,-0.187,,374.61,374.15,,0,2.335,4.8958865,4.86895723,-0.02692927
24,LMT,HII,DEFENSE,2025-07-22,2025-07-31,LONG_A_SHORT_B,402.571,250.8212,0.232788,0.133,40.3,0.017199,0.224139,4.944199,0.9765,-4.2455,-3.053,-1.3691,-3.0155,-4,D,0.2083,7,TRAIL,2.11,0.211,-5.89,8,1,335.86,353.94,1.799,0.211,4,-1.8723,-1.442,,0.3139,0.0243,1.544,1.655,,353.14,353.72,,0,1.588,4.7117782,4.71462986,0.00285166
25,LMT,HII,DEFENSE,2025-09-23,2025-10-15,SHORT_A_LONG_B,480.4708,273.9421,0.232788,0.133,40.3,0.017199,0.224139,4.944199,0.9765,2.0144,-0.999,0.2098,-0.7571,-3,D,0.25,16,REVERT,-18.63,-1.863,-26.63,8,1,353.54,360.67,0.213,-4.612,1,1.4213,1.7395,1.7819,0.0879,0.1471,0.075,-1.573,-4.223,358.41,356.35,358.03,1,2.076,4.86814675,4.88655927,0.01841252
26,LMT,HII,DEFENSE,2025-10-24,2025-11-17,LONG_A_SHORT_B,479.2268,297.6631,0.232788,0.133,40.3,0.017199,0.224139,4.944199,0.9765,-2.2749,-1.287,-0.37,-1.7876,-3,D,0.25,16,REVERT,-37.77,-3.777,-45.77,8,1,330.66,354.74,0.171,-8.318,1,-1.5145,-1.3353,-2.4152,0.1300,0.3551,0.099,-0.383,-6.324,354.74,339.73,336.42,1,3.948,4.84622242,4.80811184,-0.03811058
27,LMT,HII,DEFENSE,2026-01-05,2026-01-08,SHORT_A_LONG_B,508.8881,362.3477,0.232788,0.133,40.3,0.017199,0.224139,4.944199,0.9765,2.7038,-1.0994,1.8798,-1.0478,-2,D,0.2917,3,TRAIL,-3.83,-0.383,-11.83,8,1,341.2,345.18,2.423,-1.783,2,1.8798,,,0.3519,0.3519,-0.383,,,341.2,,,1,2.806,4.86050064,4.86443291,0.00393227
28,LMT,HII,DEFENSE,2026-01-09,2026-02-10,SHORT_A_LONG_B,540.0737,385.7845,0.232788,0.133,40.3,0.017199,0.224139,4.944199,0.9765,2.8283,-0.5098,1.3228,1.3388,-2,D,0.2917,21,OVERTIME,-152.13,-15.213,-160.13,8,1,316.45,346.22,-0.855,-16.433,1,2.2645,1.8238,1.0772,0.0682,0.0292,-3.777,-4.937,-5.537,341.62,341,342.33,0,14.358,4.90538829,5.04611711,0.14072882
29,LMT,HII,DEFENSE,2026-03-24,2026-03-26,LONG_A_SHORT_B,610.17,402.08,0.232788,0.133,40.3,0.017199,0.224139,4.944199,0.9765,-2.2159,0.9667,-0.4203,1.4654,-3,D,0.25,2,REVERT,38.13,3.813,30.13,8,1,349.37,351.22,3.813,2.272,2,,,,,0.3355,,,,,,,0,0.000,5.01778926,5.05575622,0.03796696
30,LMT,LDOS,DEFENSE,2025-05-13,2025-05-21,LONG_A_SHORT_B,447.6015,153.9437,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,-2.127,-1.5511,-0.9975,-1.475,1,D,0.4167,6,TRAIL,5.04,0.504,-2.96,8,1,52.63,52.85,1.024,-1.122,5,-1.449,-0.9505,,0.2150,0.0380,0.048,1.024,,52.5,52.64,,0,0.520,2.16023738,2.16522326,0.00498588
31,LMT,LDOS,DEFENSE,2025-05-30,2025-06-11,SHORT_A_LONG_B,469.5518,147.0998,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.0644,-0.2776,-0.1204,-0.7998,1,D,0.4167,8,REVERT,33.22,3.322,25.22,8,1,53.62,56.59,3.322,-3.568,8,1.8619,1.0789,,0.2871,0.3406,-2.815,-0.745,,55.71,54.45,,0,0.000,2.24372051,2.20948929,-0.03423122
32,LMT,LDOS,DEFENSE,2025-06-24,2025-07-15,LONG_A_SHORT_B,451.0473,151.1797,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,-2.1978,-1.2177,-0.1696,-1.5026,1,D,0.4167,14,REVERT,-19.49,-1.949,-27.49,8,1,50.4,52.99,-1.283,-5.838,1,-1.8701,-1.6886,-1.1388,0.1427,0.1805,-2.124,-3.233,-4.512,52.51,51.46,50.21,0,0.666,2.18209256,2.16341332,-0.01867924
33,LMT,LDOS,DEFENSE,2025-07-22,2025-07-29,LONG_A_SHORT_B,402.571,160.1673,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,-3.9274,-3.6418,-1.3644,-3.3141,2,D,0.4583,5,TRAIL,21.74,2.174,13.74,8,1,49.07,49.22,3.032,0.829,4,-1.8218,-1.3644,,0.3123,0.1525,1.583,2.174,,49.22,49.07,,0,0.858,2.0231736,2.04466171,0.02148811
34,LMT,LDOS,DEFENSE,2025-09-04,2025-09-18,SHORT_A_LONG_B,451.0306,177.3479,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.1795,-3.125,0.3349,-3.161,1,D,0.4167,10,REVERT,2.66,0.266,-5.34,8,1,47.62,49.21,0.266,-1.896,10,1.3232,1.1969,0.3349,0.3413,0.3931,0.151,-0.166,0.266,48.9,48.32,47.62,0,0.000,2.05705356,2.05469606,-0.00235750
35,LMT,LDOS,DEFENSE,2025-09-25,2025-10-06,SHORT_A_LONG_B,478.1704,181.4967,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.2768,-2.5099,1.0585,-2.5814,1,D,0.4167,7,TRAIL,5.59,0.559,-2.41,8,1,48.22,49.54,1.516,-0.236,6,1.7979,0.6359,,-0.0050,-0.1409,-0.236,1.42,,49.35,48.4,,0,0.957,2.09737937,2.09269525,-0.00468412
36,LMT,LDOS,DEFENSE,2025-10-10,2025-10-22,SHORT_A_LONG_B,498.6166,187.1399,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.0243,-2.2369,-1.4018,-2.8156,1,D,0.4167,8,TRAIL,37.29,3.729,29.29,8,1,47.08,50.06,5.215,-0.629,7,1.0598,1.0015,,0.3271,-0.2376,0.509,0.494,,49.79,49.83,,0,1.486,2.11527506,2.07733903,-0.03793603
37,LMT,LDOS,DEFENSE,2025-11-04,2025-11-17,LONG_A_SHORT_B,478.8023,198.6053,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,-2.4349,-3.5657,0.1072,-3.3569,1,D,0.4167,9,REVERT,12.94,1.294,4.94,8,1,46.07,47.29,1.294,-5.728,9,-2.47,-1.9124,,-0.0826,0.3252,-4.483,-5.245,,46.1,45.63,,0,0.000,2.02816524,2.04185011,0.01368487
38,LMT,LDOS,DEFENSE,2025-12-15,2025-12-22,SHORT_A_LONG_B,481.8804,185.4901,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.0418,-2.652,1.2547,-2.6845,1,D,0.4167,5,TRAIL,2.13,0.213,-5.87,8,1,48.96,49.46,1.589,-0.077,4,1.2406,1.2547,,0.1931,-0.0047,0.943,0.213,,49.31,48.96,,0,1.376,2.08806685,2.08593172,-0.00213513
39,LMT,LDOS,DEFENSE,2026-01-09,2026-02-10,SHORT_A_LONG_B,540.0737,197.8495,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.5676,-1.6833,0.68,0.7952,2,D,0.4583,21,OVERTIME,-173.87,-17.387,-181.87,8,1,51.4,53.16,-2.614,-21.211,1,2.875,1.9767,1.2472,-0.0005,0.0356,-8.454,-8.714,-10.625,50.73,50.91,51.46,0,14.773,2.15156891,2.31405107,0.16248216
40,LMT,LDOS,DEFENSE,2026-02-11,2026-02-26,SHORT_A_LONG_B,625.4041,172.5721,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.4007,2.1869,0.3679,2.3016,1,D,0.4167,10,REVERT,-7.62,-0.762,-15.62,8,1,45.23,58.06,-0.762,-8.512,10,2.5311,1.4995,0.3679,-0.0639,0.2759,-8.512,-4.534,-0.762,51.28,47.47,45.23,0,0.000,2.40529083,2.41280973,0.00751890
41,LMT,LDOS,DEFENSE,2026-03-26,2026-03-30,SHORT_A_LONG_B,627.33,157.58,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.6852,3.3193,0.0168,2.8632,2,D,0.4583,2,REVERT,29,2.9,21,8,1,60,60.17,2.9,0.813,2,,,,,0.8499,,,,,,,0,0.000,2.47952659,2.44962582,-0.02990077
42,LMT,LDOS,DEFENSE,2026-04-06,2026-04-09,SHORT_A_LONG_B,637.9,159.47,0.783004,0.5495,22.31,0.03107,0.259421,2.261922,0.94,2.1604,3.4318,1.5619,3.3836,1,D,0.4167,3,TRAIL,3.14,0.314,-4.86,8,1,59.25,60,2.048,0.314,2,1.5619,,,-0.1316,-0.1316,0.314,,,59.25,,,0,1.734,2.48690002,2.48374569,-0.00315433
43,LMT,SAIC,DEFENSE,2025-05-14,2025-05-19,LONG_A_SHORT_B,437.2347,117.7388,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-2.5374,-1.4845,-0.2987,-0.9814,0,D,0.375,3,REVERT,32.98,3.298,24.98,8,1,93.52,93.57,3.298,1.841,3,-0.2987,,,0.3298,0.3298,3.298,,,93.52,,,0,0.000,3.00231031,3.03423025,0.03191994
44,LMT,SAIC,DEFENSE,2025-05-30,2025-06-02,SHORT_A_LONG_B,469.5518,114.3635,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,2.365,-0.0647,3.6339,1.374,-1,D,0.3333,1,DIVERGE,-85.05,-8.505,-93.05,8,0,102.43,102.43,-8.505,-8.505,1,,,,,,,,,,,,0,0.000,3.0923948,3.18367709,0.09128229
45,LMT,SAIC,DEFENSE,2025-06-03,2025-06-11,SHORT_A_LONG_B,470.6201,102.3768,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,2.4801,1.0976,0.367,0.268,-1,D,0.3333,6,REVERT,51.4,5.14,43.4,8,1,98.03,101.83,5.14,-1.149,6,1.4056,1.1314,,0.2744,0.3420,0.863,0.793,,99.32,99.28,,0,0.000,3.16614088,3.11350329,-0.05263759
46,LMT,SAIC,DEFENSE,2025-07-02,2025-07-08,LONG_A_SHORT_B,453.3506,116.363,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-2.0844,-0.7944,-1.4088,-0.7441,-1,D,0.3333,3,TRAIL,3.19,0.319,-4.81,8,1,94.9,94.94,1.413,-0.567,2,-1.4088,,,0.1761,0.1761,0.319,,,94.9,,,0,1.094,3.04609359,3.04928772,0.00319413
47,LMT,SAIC,DEFENSE,2025-07-22,2025-08-06,LONG_A_SHORT_B,402.571,113.7653,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-3.6544,-2.437,-0.3628,-1.5885,0,D,0.375,11,REVERT,55.49,5.549,47.49,8,1,91.27,92.78,5.549,1.266,11,-1.6954,-1.2968,-0.6995,0.2984,0.1320,2.404,2.799,3.917,92.57,92.51,90.88,0,0.000,2.94187336,2.99571059,0.05383723
48,LMT,SAIC,DEFENSE,2025-08-20,2025-09-04,SHORT_A_LONG_B,437.1297,116.9626,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,2.0843,-1.421,3.2503,0.1243,-1,D,0.3333,10,DIVERGE,-95.21,-9.521,-103.21,8,0,81.08,93.82,0.722,-9.521,2,1.4716,1.7871,3.2503,0.1325,-0.5874,0.113,-1.05,-9.521,93.28,93.66,81.08,1,10.243,3.00633975,3.10438626,0.09804651
49,LMT,SAIC,DEFENSE,2025-09-05,2025-10-06,SHORT_A_LONG_B,457.9908,104.193,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,2.8871,0.49,1.375,2.3193,0,D,0.375,21,OVERTIME,-121.43,-12.143,-129.43,8,1,93.07,100.32,0.152,-12.143,2,1.906,1.4351,0.998,0.1690,-0.0372,-1.113,-0.681,-2.601,100.32,98.32,97.37,1,12.295,3.12758777,3.24365902,0.11607125
50,LMT,SAIC,DEFENSE,2025-10-23,2025-10-24,LONG_A_SHORT_B,481.8332,100.3097,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-2.0597,1.6762,0.1259,2.2754,-1,D,0.3333,1,REVERT,36.6,3.66,28.6,8,1,105.44,105.44,3.66,3.66,1,,,,,,,,,,,,0,0.000,3.20285503,3.24087357,0.03801854
51,LMT,SAIC,DEFENSE,2025-11-07,2025-11-14,LONG_A_SHORT_B,452.5115,91.5087,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-2.0302,1.621,0.2683,2.2338,-1,D,0.3333,5,REVERT,38.62,3.862,30.62,8,1,104.37,104.48,3.862,-1.3,5,-1.0462,0.2683,,0.3845,0.2593,0.72,3.862,,104.45,104.37,,0,0.000,3.19934787,3.23823476,0.03888689
52,LMT,SAIC,DEFENSE,2025-12-04,2025-12-10,LONG_A_SHORT_B,445.9995,101.4559,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-3.0039,0.3426,-1.1291,1.1302,0,D,0.375,4,TRAIL,50.86,5.086,42.86,8,1,97.68,100.63,6.964,1.607,3,-0.7208,,,0.4623,-0.0245,6.964,,,100.03,,,0,1.878,3.11824044,3.16821256,0.04997212
53,LMT,SAIC,DEFENSE,2026-01-06,2026-01-07,SHORT_A_LONG_B,519.3032,108.4429,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,2.1871,2.0634,-0.1743,1.4695,-1,D,0.3333,1,REVERT,36.59,3.659,28.59,8,1,101.21,101.21,3.659,3.659,1,,,,,,,,,,,,0,0.000,3.2274189,3.18973813,-0.03768077
54,LMT,SAIC,DEFENSE,2026-01-09,2026-01-29,SHORT_A_LONG_B,540.0737,113.6458,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,2.2828,2.2047,2.0485,5.4906,-1,D,0.3333,13,STALL,-214.45,-21.445,-222.45,8,1,94.49,101.86,-1.363,-21.445,1,3.075,2.0604,1.5499,-0.2201,-0.1022,-8.658,-8.706,-12.399,98.13,98.15,95.09,0,20.082,3.23638586,3.44487496,0.20848910
55,LMT,SAIC,DEFENSE,2026-02-11,2026-02-19,SHORT_A_LONG_B,625.4041,82.22,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,2.4051,7.8098,1.2431,7.6958,-1,D,0.3333,5,TRAIL,8.95,0.895,0.95,8,1,110.18,119.79,1.636,-0.997,4,1.6823,1.2431,,0.1334,0.1464,-0.997,0.895,,117.25,110.18,,0,0.741,3.5920264,3.58479004,-0.00723636
56,LMT,SAIC,DEFENSE,2026-03-17,2026-04-06,LONG_A_SHORT_B,636.33,94.58,0.645524,0.4706,21.98,0.031539,0.252969,3.0965,0.9508,-2.3706,6.6579,-0.4212,6.1737,-1,D,0.3333,13,REVERT,-31.59,-3.159,-39.59,8,1,107.13,113.77,-0.307,-6.084,1,-2.1706,-2.035,-1.2806,-0.0280,0.2068,-2.873,-4.637,-5.251,112.8,112.18,109.71,0,2.852,3.51894183,3.48821657,-0.03072526
57,LMT,MTX.DE,DEFENSE,2025-05-14,2025-05-19,LONG_A_SHORT_B,437.2347,330.8,0.126657,0.036,60.52,0.011454,0.228772,5.465378,0.9785,-3.0335,-1.2572,-0.1863,-0.7423,-1,D,0.3333,3,REVERT,50.37,5.037,42.37,8,1,710.09,710.09,5.037,3.339,3,-0.1863,,,0.3347,0.3347,5.037,,,710.09,,,0,0.000,5.34566957,5.39470351,0.04903394
58,LMT,MTX.DE,DEFENSE,2025-06-13,2025-06-17,SHORT_A_LONG_B,476.7752,341.2,0.126657,0.036,60.52,0.011454,0.228772,5.465378,0.9785,2.0396,-0.3892,0.6574,-0.5943,-2,D,0.2917,2,TRAIL,19.52,1.952,11.52,8,1,707.27,707.27,4.257,1.952,1,,,,,0.1235,,,,,,,0,2.305,5.42832396,5.40879237,-0.01953159
59,LMT,MTX.DE,DEFENSE,2025-06-24,2025-07-01,LONG_A_SHORT_B,451.0473,373.5,0.126657,0.036,60.52,0.011454,0.228772,5.465378,0.9785,-2.0643,-1.0921,-0.4726,-0.9181,-2,D,0.2917,5,REVERT,16.58,1.658,8.58,8,1,690.9,695.61,1.658,-0.395,5,-1.5666,-0.4726,,0.1104,0.3647,-0.391,1.658,,693.7,690.9,,0,0.000,5.36139507,5.3779618,0.01656673
60,LMT,MTX.DE,DEFENSE,2025-07-22,2025-07-29,LONG_A_SHORT_B,402.571,380.2,0.126657,0.036,60.52,0.011454,0.228772,5.465378,0.9785,-4.14,-2.3098,-1.4703,-2.0534,-3,D,0.25,5,TRAIL,24.66,2.466,16.66,8,1,668.92,680.6,3.262,2.106,3,-1.6713,-1.4703,,0.3096,0.0670,3.262,2.466,,678.64,668.92,,0,0.796,5.24544226,5.26985801,0.02441575
